hole_ID,depth_from,depth_to,Ag_ppm,Al_ppm,As_ppm,Au_ppm,Ba_ppm,Be_ppm,Bi_ppm,Ca_ppm,Cd_ppm,Ce_ppm,Co_ppm,Cr_ppm,Cs_ppm,Cu_ppm,Fe_ppm,Ga_ppm,Ge_ppm,Hf_ppm,Hg_ppm,In_ppm,La_ppm,Li_ppm,Mg_ppm,Mn_ppm,Mo_ppm,Nb_ppm,Ni_ppm,P_ppm,Pb_ppm,Pd_ppm,Pt_ppm,Rb_ppm,Re_ppm,S_ppm,Sb_ppm,Sc_ppm,Se_ppm,Sn_ppm,Sr_ppm,Ta_ppm,Te_ppm,Th_ppm,Ti_ppm,Tl_ppm,U_ppm,V_ppm,W_ppm,Y_ppm,Zn_ppm,Zr_ppm
WWRC093,77,78,0.60000002,,5,0.001,0,0,0,,0,,75,1500,,37,,10,,,,,0,,,1210,0,,808,160,0,0.011,0.013,,,,0,24,,,18,,,0,,10,10,143,0,,69,
WWRC093,78,79,0.5,,45,0.003,10,0,2,,0,,77,1550,,21,,10,,,,,0,,,1220,0,,886,170,0,0.01,0.014,,,,0,25,,,22,,,0,,10,10,149,0,,70,
WWRC093,79,80,0.60000002,,13,0.006,10,0,0,,0,,72,1230,,90,,10,,,,,0,,,1310,0,,531,170,0,0.016000001,0.021,,,,0,29,,,79,,,0,,0,0,170,0,,71,
WWRC093,80,81,0.60000002,,5,0.004,50,0,0,,0,,68,1120,,71,,10,,,,,0,,,1470,0,,467,190,3,0.016000001,0.017999999,,,,0,31,,,191,,,0,,10,0,184,0,,71,
WWRC093,81,82,0,,11,0.001,10,0,0,,0,,75,1450,,135,,10,,,,,0,,,1390,0,,946,150,0,0.012,0.014,,,,0,25,,,50,,,0,,0,0,140,0,,69,
WWRC093,82,83,0.60000002,,0,0.001,0,0,0,,0,,84,1660,,23,,10,,,,,0,,,1100,0,,1190,150,0,0.01,0.011,,,,0,21,,,34,,,0,,0,0,123,0,,60,
WWRC093,83,84,0,,0,0,0,0,2,,0,,80,1580,,37,,10,,,,,0,,,1080,0,,1110,130,0,0.01,0.015,,,,0,21,,,34,,,0,,10,10,125,0,,56,
WWRC093,84,85,0.60000002,,6,0,0,0,0,,0,,83,1740,,113,,10,,,,,0,,,1210,0,,1080,150,0,0.012,0.013,,,,0,23,,,42,,,0,,10,0,133,0,,60,
WWRC093,85,86,0.5,,11,0.001,0,0,0,,0,,88,1490,,19,,10,,,,,0,,,1410,0,,1390,130,0,0.009,0.01,,,,0,19,,,44,,,0,,0,0,107,0,,62,
WWRC093,86,87,0.60000002,,6,0,0,0,0,,0,,93,1740,,32,,10,,,,,0,,,1240,0,,1450,130,0,0.009,0.013,,,,0,21,,,43,,,0,,0,0,122,0,,67,
